,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
2108,FS,2024-05-05,87.0,-1.84,6.4,"Walker, Taijuan",642731,592836,,ball,,,,,13,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,B,,,1,2,2024,-0.9,0.15,-0.55,1.26,,,,1,2,Top,,,,,592663,,,4.905204620679523,-126.48856448116696,-6.455543188082156,-10.60949622971774,25.439458631871517,-29.39957949938766,3.5,1.74,,,,86.6,1255,6.0,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.48,,,,,,,,10,6,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,228,0.0,0.021,,
2194,FF,2024-05-05,92.1,-1.51,6.59,"Walker, Taijuan",642731,592836,,foul,,,,,3,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,S,,,1,2,2024,-0.68,1.45,0.74,2.94,,,,1,2,Top,,,,,592663,,,7.162623345959351,-133.9442950604581,-6.588789461553289,-9.70596549451768,27.762762204921785,-13.44279732440886,3.41,1.67,272,82.0,31,92.0,2152,6.2,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.34,,,,,,,,10,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,215,0.0,0.0,68.92553784509374,6.28678
2277,CU,2024-05-05,75.7,-1.74,6.45,"Walker, Taijuan",642731,592836,,foul,,,,,9,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,S,,,1,2,2024,0.66,-0.87,0.53,2.03,,,,1,2,Top,,,,,592663,,,3.520650191312422,-110.17567542641704,-0.5922171518990379,4.774990165683111,19.722175781666063,-39.36864893715445,3.41,1.67,2,68.0,-45,75.2,2435,5.9,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.56,,,,,,,,10,4,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,46,0.0,0.0,66.7634159189118,7.41649
2299,FS,2024-05-05,86.4,-1.78,6.45,"Walker, Taijuan",642731,592836,,foul,,,,,8,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,S,,,1,1,2024,-0.7,0.23,0.25,2.11,,,,1,2,Top,,,,,592663,,,6.208142907199396,-125.65617453433902,-4.607448313403864,-8.626114121648323,23.71743075522843,-29.02244587588615,3.41,1.67,3,70.8,-33,86.1,1353,6.0,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.54,,,,,,,,10,3,Split-Finger,0,1,1,0,1,0,1,0,Standard,Standard,229,0.0,-0.04,82.62658843370463,7.47936
2381,SI,2024-05-05,90.9,-1.73,6.5,"Walker, Taijuan",642731,592836,,called_strike,,,,,3,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,S,,,1,0,2024,-1.34,0.96,0.57,3.23,,,,1,2,Top,,,,,592663,,,8.565885154475867,-132.12903864501158,-4.3225653038479575,-17.567912819068574,27.545985955291336,-20.168481659928684,3.41,1.72,,,,90.3,1868,5.9,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.55,,,,,,,,10,2,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,216,0.0,-0.026,,
2421,CU,2024-05-05,74.4,-1.62,6.54,"Walker, Taijuan",642731,592836,,ball,,,,,14,Thairo Estrada flies out to right fielder Nick Castellanos.,R,R,R,PHI,SF,B,,,0,0,2024,0.63,-1.1,1.94,0.89,,,,1,2,Top,,,,,592663,,,6.106349563011504,-108.14655440918467,-2.3556210409623235,3.780503124480408,20.39391939386885,-40.54758792015404,3.38,1.65,,,,73.3,2469,5.7,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.8,,,,,,,,10,1,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,36,0.0,0.025,,
2541,FF,2024-05-05,92.2,-1.48,6.52,"Walker, Taijuan",573262,592836,strikeout,called_strike,,,,,9,Mike Yastrzemski called out on strikes.,R,L,R,PHI,SF,S,2,,2,2,2024,-0.86,1.63,0.3,1.85,,,,0,2,Top,,,,,592663,,,6.334688101332672,-133.84698223761075,-9.501345659258844,-11.668830013133244,28.711279533052533,-10.665222413628731,3.45,1.68,,,,91.7,2167,6.1,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.42,,0.0,0.0,1,0,0,,9,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,211,0.02,-0.207,,
2622,FF,2024-05-05,91.7,-1.52,6.61,"Walker, Taijuan",573262,592836,,called_strike,,,,,8,Mike Yastrzemski called out on strikes.,R,L,R,PHI,SF,S,,,2,1,2024,-0.9,1.59,-0.26,1.78,,,,0,2,Top,,,,,592663,,,5.085016857654058,-133.23417390560965,-9.72653057706175,-11.749388010988236,27.771270745656164,-11.285821545738385,3.39,1.64,,,,91.3,2151,6.0,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.46,,,,,,,,9,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,215,0.0,-0.068,,
2716,CU,2024-05-05,75.3,-1.73,6.5,"Walker, Taijuan",573262,592836,,ball,,,,,14,Mike Yastrzemski called out on strikes.,R,L,R,PHI,SF,B,,,1,1,2024,0.67,-0.97,1.07,0.85,,,,0,2,Top,,,,,592663,,,4.57142921933816,-109.54309495377927,-2.7889572314732134,4.460114970993342,21.06620000961899,-39.64614343722657,3.33,1.53,,,,74.3,2432,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.72,,,,,,,,9,3,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,42,0.0,0.056,,
2772,FF,2024-05-05,91.5,-1.74,6.57,"Walker, Taijuan",573262,592836,,swinging_strike,,,,,4,Mike Yastrzemski called out on strikes.,R,L,R,PHI,SF,S,,,1,0,2024,-0.97,1.36,-0.56,2.83,,,,0,2,Top,,,,,592663,,,5.025882135008749,-133.07930451028432,-6.4364500868914405,-12.646546875016163,30.364053356429054,-14.770515688706116,3.43,1.63,,,,90.6,2065,5.9,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.61,,,,,,,,9,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,215,0.0,-0.05,71.37671245807606,6.98916
2870,FC,2024-05-05,85.2,-1.97,6.53,"Walker, Taijuan",573262,592836,,ball,,,,,11,Mike Yastrzemski called out on strikes.,R,L,R,PHI,SF,B,,,0,0,2024,0.21,1.2,-1.31,3.04,,,,0,2,Top,,,,,592663,,,1.1192783850278414,-124.16614657956266,-4.328299316905089,1.9925696008761544,23.3477948559814,-19.108081105859466,3.27,1.56,,,,84.8,2401,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.72,,,,,,,,9,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,189,0.0,0.037,,
2964,FF,2024-05-05,92.0,-1.6,6.6,"Walker, Taijuan",656305,592836,strikeout,swinging_strike,,,,,3,Matt Chapman strikes out swinging.,R,R,R,PHI,SF,S,2,,1,2,2024,-0.52,1.46,0.54,3.19,,624424,,2,1,Top,,,,,592663,,,6.523581245552927,-133.81483670356738,-5.958943278571975,-7.674096901904902,28.11443835408799,-13.465367622325983,3.53,1.67,,,,91.6,2094,6.0,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.46,,0.0,0.0,1,0,0,,5,4,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,210,0.03,-0.219,74.55597551753245,6.61817
3072,FF,2024-05-05,91.8,-1.59,6.63,"Walker, Taijuan",656305,592836,,ball,,,,,12,Matt Chapman strikes out swinging.,R,R,R,PHI,SF,B,,,0,2,2024,-0.74,1.48,0.49,4.13,,624424,,2,1,Top,,,,,592663,,,6.7998009144282205,-133.50881388605384,-3.6931958849339632,-10.276935636597594,27.788302416246985,-13.80607282598934,3.46,1.7,,,,91.4,2027,6.0,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.52,,,,,,,,5,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,212,0.0,0.012,,
3200,FC,2024-05-05,83.7,-1.8,6.55,"Walker, Taijuan",656305,592836,,swinging_strike,,,,,6,Matt Chapman strikes out swinging.,R,R,R,PHI,SF,S,,,0,1,2024,0.55,0.59,0.78,2.84,,624424,,2,1,Top,,,,,592663,,,4.82828955823426,-121.9443460460166,-3.3920248174498626,4.676061631442156,20.91137265894532,-25.7848885093111,3.53,1.67,,,,83.4,2440,5.7,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.77,,,,,,,,5,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,157,0.0,-0.069,78.03113847935681,8.21781
3338,FC,2024-05-05,84.1,-1.78,6.53,"Walker, Taijuan",656305,592836,,foul,,,,,9,Matt Chapman strikes out swinging.,R,R,R,PHI,SF,S,,,0,0,2024,0.47,0.39,0.34,2.0,,624424,,2,1,Top,,,,,592663,,,3.95431879735768,-122.44356414584266,-4.901170856139344,4.023533094212311,22.23244382197584,-27.53843928755419,3.53,1.67,178,70.8,61,83.7,2559,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.67,,,,,,,,5,1,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,155,0.0,-0.048,74.47561978113576,8.21333
3455,FS,2024-05-05,85.7,-2.11,6.35,"Walker, Taijuan",624424,592836,double,hit_into_play,,,,,5,Michael Conforto doubles (7) on a sharp fly ball to left fielder Brandon Marsh.   LaMonte Wade Jr.  scores.,R,L,R,PHI,SF,X,7,fly_ball,0,0,2024,-0.91,-0.1,-0.1,2.26,,,664774,2,1,Top,105.84,58.73,,,592663,,,6.510417022245393,-124.77506566654893,-3.2268841229026224,-10.717121605778775,23.047477144214483,-32.846115557121664,3.14,1.49,408,105.6,30,85.4,1371,5.9,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.63,0.894,1.817,1.25,1,1,1,6,4,1,Split-Finger,0,0,0,0,1,0,1,0,Standard,Standard,230,-0.113,0.77,77.97149997696438,7.43994
3612,FC,2024-05-05,84.2,-1.7,6.59,"Walker, Taijuan",527038,592836,strikeout,called_strike,,,,,9,Wilmer Flores called out on strikes.,R,R,R,PHI,SF,S,2,,0,2,2024,0.57,0.51,0.5,1.64,,,664774,1,1,Top,,,,,592663,,,3.937734468911652,-122.62942430571732,-6.133159803778532,5.114275131028092,21.8426580354969,-26.071033507980445,3.17,1.64,,,,83.6,2521,5.7,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.85,,0.0,0.0,1,0,0,,3,3,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,151,0.028,-0.194,,
3686,SI,2024-05-05,90.8,-1.74,6.64,"Walker, Taijuan",527038,592836,,called_strike,,,,,5,Wilmer Flores called out on strikes.,R,R,R,PHI,SF,S,,,0,1,2024,-1.12,1.21,0.21,2.3,,,664774,1,1,Top,,,,,592663,,,7.199900343275239,-131.9630794709695,-7.462325254738647,-14.64021266153738,27.713736013100306,-16.565480364328355,3.19,1.7,,,,89.9,1990,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.7,,,,,,,,3,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,-0.052,,
3896,SI,2024-05-05,90.7,-1.66,6.67,"Walker, Taijuan",527038,592836,,foul,,,,,1,Wilmer Flores called out on strikes.,R,R,R,PHI,SF,S,,,0,0,2024,-1.3,1.02,-0.43,2.79,,,664774,1,1,Top,,,,,592663,,,5.802895447368111,-131.95120604337032,-5.894718034101764,-16.443661428484617,28.38548231925101,-19.18122278832261,3.12,1.52,174,105.1,10,89.8,1936,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.73,,,,,,,,3,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216,0.0,-0.045,72.62439016504285,7.64513
3947,FC,2024-05-05,88.5,-1.89,6.5,"Walker, Taijuan",664774,592836,single,hit_into_play,,,,,5,LaMonte Wade Jr.  singles on a sharp line drive to right fielder Nick Castellanos.,R,L,R,PHI,SF,X,9,line_drive,0,0,2024,-0.26,1.27,-0.07,2.54,,,,1,1,Top,199.43,80.71,,,592663,,,4.950450129107527,-128.7885729944814,-6.20790065082897,-3.8778616195875752,25.832778484387124,-16.887896817540735,3.25,1.51,343,105.2,21,87.9,2271,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.66,0.746,1.066,0.9,1,1,0,6,2,1,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,204,-0.025,0.26,72.21620950841955,6.77929
4177,FC,2024-05-05,87.6,-1.94,6.57,"Walker, Taijuan",808982,592836,field_out,hit_into_play,,,,,7,Jung Hoo Lee lines out to left fielder Brandon Marsh.,R,L,R,PHI,SF,X,7,line_drive,0,1,2024,0.31,1.12,-0.46,2.13,,,,0,1,Top,63.96,98.54,,,592663,,,2.907334644818496,-127.56422914049712,-6.881876135111988,2.838920221015778,24.61891923506438,-18.78038507029577,3.43,1.58,292,87.6,25,87.2,2374,5.8,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.65,0.137,0.143,0.0,1,0,0,3,1,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,189,0.022,-0.195,70.50957134799853,7.40786
4266,FF,2024-05-05,91.0,-1.8,6.6,"Walker, Taijuan",808982,592836,,called_strike,,,,,1,Jung Hoo Lee lines out to left fielder Brandon Marsh.,R,L,R,PHI,SF,S,,,0,0,2024,-0.8,1.31,-0.59,3.35,,,,0,1,Top,,,,,592663,,,4.703389397367872,-132.37003437296391,-4.979902162480484,-10.415575493507964,29.45976837396684,-15.97085558029157,3.4,1.52,,,,90.2,2115,5.9,745587,592836,592663,547180,681082,664761,624641,669016,679032,592206,54.59,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,-0.035,,
65,SI,2024-04-28,91.1,-1.62,6.4,"Walker, Taijuan",669134,592836,home_run,hit_into_play,,,,,8,Luis Campusano homers (2) on a fly ball to left center field.   Ha-Seong Kim scores.    Graham Pauley scores.,R,R,R,SD,PHI,X,,fly_ball,1,1,2024,-1.29,0.9,0.23,1.99,,673490,688363,1,7,Bot,56.44,54.0,,,592663,,,7.351669911035962,-132.41598217910342,-7.075131645823394,-16.72144686096036,26.655526400591963,-20.314285298175594,3.4,1.6,397,106.2,22,90.4,2067,5.8,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.71,0.86,1.471,2.0,1,0,3,6,59,3,Sinker,3,7,3,7,7,6,6,7,Standard,Standard,214,0.206,2.348,73.25642374389962,8.2953
80,FC,2024-04-28,85.5,-1.74,6.38,"Walker, Taijuan",669134,592836,,ball,,,,,14,Luis Campusano homers (2) on a fly ball to left center field.   Ha-Seong Kim scores.    Graham Pauley scores.,R,R,R,SD,PHI,B,,,0,1,2024,0.4,0.94,2.52,2.15,,673490,688363,1,7,Bot,,,,,592663,,,9.115934311993044,-124.30507328564708,-5.57888527467712,2.4897652280306617,22.490554278595496,-21.482194555308794,3.5,1.81,,,,84.7,2517,5.6,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.89,,,,,,,,59,2,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,162,0.0,0.048,,
92,SI,2024-04-28,91.0,-1.43,6.42,"Walker, Taijuan",669134,592836,,called_strike,,,,,6,Luis Campusano homers (2) on a fly ball to left center field.   Ha-Seong Kim scores.    Graham Pauley scores.,R,R,R,SD,PHI,S,,,0,0,2024,-1.17,0.97,0.44,2.68,,673490,688363,1,7,Bot,,,,,592663,,,7.119945122597416,-132.33185371579762,-5.531035534705657,-15.206383904826886,26.84738831787722,-19.76927526516489,3.5,1.76,,,,90.3,2066,5.8,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.69,,,,,,,,59,1,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,212,0.0,-0.075,,
112,FC,2024-04-28,87.8,-1.91,6.4,"Walker, Taijuan",688363,592836,single,hit_into_play,,,,,4,Graham Pauley singles on a ground ball to first baseman Bryce Harper.   Ha-Seong Kim to 2nd.,R,L,R,SD,PHI,X,3,ground_ball,0,0,2024,-0.24,1.26,-0.41,2.59,,,673490,1,7,Bot,154.57,163.55,,,592663,,,4.048542471008046,-127.82383654321784,-5.686765661345935,-3.385489766685828,24.91000725239209,-17.333229644473434,3.41,1.56,22,99.3,-6,86.6,2261,5.4,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.12,0.294,0.251,0.9,1,1,0,2,58,1,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,204,0.033,0.535,73.73909094286174,7.52298
136,SI,2024-04-28,90.7,-1.65,6.34,"Walker, Taijuan",673490,592836,walk,blocked_ball,,,,,14,Ha-Seong Kim walks.,R,R,R,SD,PHI,B,,,3,1,2024,-1.25,0.96,0.13,0.85,,,,1,7,Bot,,,,,592663,,,7.002300213941575,-131.6725695007549,-9.768650880800577,-15.979025690825017,25.21899443841793,-19.192299514418185,3.57,1.78,,,,89.9,1903,5.7,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.77,,0.696232,0.7,1,0,0,,57,5,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,215,0.019,0.151,,
149,FC,2024-04-28,84.2,-1.75,6.4,"Walker, Taijuan",673490,592836,,ball,,,,,12,Ha-Seong Kim walks.,R,R,R,SD,PHI,B,,,2,1,2024,0.76,0.44,1.33,3.22,,,,1,7,Bot,,,,,592663,,,5.564973577783714,-122.64576277021018,-1.899956792805347,6.692962776551169,22.48912711169757,-27.572372980195397,3.6,1.78,,,,83.3,2463,5.5,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.01,,,,,,,,57,4,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,149,0.0,0.082,,
178,SI,2024-04-28,91.1,-1.53,6.42,"Walker, Taijuan",673490,592836,,called_strike,,,,,6,Ha-Seong Kim walks.,R,R,R,SD,PHI,S,,,2,0,2024,-1.41,0.87,0.36,2.97,,,,1,7,Bot,,,,,592663,,,7.675490036493003,-132.5363480309299,-4.643569718341036,-18.22091181443376,26.561426806282096,-21.053451843565963,3.54,1.72,,,,90.4,1952,5.7,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.76,,,,,,,,57,3,Sinker,3,7,3,7,7,3,3,7,Standard,Standard,213,0.0,-0.04,,
184,FC,2024-04-28,86.2,-1.76,6.39,"Walker, Taijuan",673490,592836,,ball,,,,,14,Ha-Seong Kim walks.,R,R,R,SD,PHI,B,,,1,0,2024,0.56,0.69,1.07,1.52,,,,1,7,Bot,,,,,592663,,,5.507579374697138,-125.4036511511123,-6.726747687262228,5.011315451083029,22.050363697615857,-23.753721206523007,3.58,1.74,,,,85.5,2489,5.5,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.96,,,,,,,,57,2,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,182,0.0,0.044,,
217,FC,2024-04-28,86.0,-1.79,6.37,"Walker, Taijuan",673490,592836,,ball,,,,,14,Ha-Seong Kim walks.,R,R,R,SD,PHI,B,,,0,0,2024,0.53,0.62,1.04,1.68,,,,1,7,Bot,,,,,592663,,,5.576991372704135,-125.15596041926244,-6.1425191898043074,4.623705114677321,22.45654264076996,-24.684308366093894,3.67,1.8,,,,85.4,2441,5.7,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.84,,,,,,,,57,1,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,174,0.0,0.025,,
236,FC,2024-04-28,86.4,-1.94,6.32,"Walker, Taijuan",701538,592836,field_out,hit_into_play,,,,,9,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,X,8,fly_ball,3,2,2024,0.1,1.1,0.52,2.12,,,,0,7,Bot,136.5,81.96,,,592663,,,5.557583544190394,-125.73753588671912,-6.021625319144101,0.0734979231559087,22.537211131317896,-19.45064733593828,3.61,1.66,350,91.3,30,85.5,2336,5.5,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.03,0.069,0.103,0.0,1,0,0,3,56,8,Cutter,3,7,3,7,7,3,3,7,Infield shade,Standard,187,-0.017,-0.305,83.42346366787076,7.97682
267,FF,2024-04-28,88.4,-1.98,6.37,"Walker, Taijuan",701538,592836,,ball,,,,,13,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,B,,,2,2,2024,-0.42,1.33,-0.46,1.54,,,,0,7,Bot,,,,,592663,,,4.491233139929752,-128.5209472355952,-8.334011471954007,-5.577228267309209,25.3026985936051,-15.96295107081658,3.74,1.78,,,,86.9,2248,5.3,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.22,,,,,,,,56,7,4-Seam Fastball,3,7,3,7,7,3,3,7,Infield shade,Standard,199,0.0,0.099,,
282,FC,2024-04-28,84.1,-1.86,6.37,"Walker, Taijuan",701538,592836,,foul,,,,,8,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,S,,,2,2,2024,0.57,0.33,-0.12,2.08,,,,0,7,Bot,,,,,592663,,,2.84722812424405,-122.4262824519766,-4.182047294726844,5.191068081341636,23.287638815443177,-28.2457189022617,3.61,1.66,277,89.8,38,82.6,2440,5.2,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.29,,,,,,,,56,6,Cutter,3,7,3,7,7,3,3,7,Infield shade,Standard,149,0.0,0.0,75.16465634868814,7.44795
311,FF,2024-04-28,91.8,-1.46,6.5,"Walker, Taijuan",701538,592836,,foul,,,,,3,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,S,,,2,2,2024,-0.74,1.37,0.57,3.48,,,,0,7,Bot,,,,,592663,,,6.644976866572221,-133.41780700515565,-4.692226782292534,-10.291294690222468,29.222653296110582,-14.9691821566929,3.61,1.66,149,62.2,58,90.5,2119,5.6,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.89,,,,,,,,56,5,4-Seam Fastball,3,7,3,7,7,3,3,7,Infield shade,Standard,218,0.0,0.0,73.98441319316741,6.5698
332,FC,2024-04-28,85.9,-1.79,6.41,"Walker, Taijuan",701538,592836,,swinging_strike,,,,,14,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,S,,,2,1,2024,0.39,0.93,1.51,2.12,,,,0,7,Bot,,,,,592663,,,6.891006548781294,-124.96045961126958,-5.772051862525043,2.914526696001149,22.66199077463196,-21.424956591053903,3.61,1.66,,,,85.0,2443,5.5,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.02,,,,,,,,56,4,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,170,0.0,-0.068,34.63242600725064,6.33743
365,FC,2024-04-28,87.0,-1.83,6.45,"Walker, Taijuan",701538,592836,,ball,,,,,12,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,B,,,1,1,2024,-0.01,1.28,0.08,4.9,,,,0,7,Bot,,,,,592663,,,4.520131051394169,-126.75739700652456,-0.2015323757537044,-1.0035397154607482,25.18844999510732,-18.493720045916653,3.83,1.9,,,,85.7,2316,5.3,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.21,,,,,,,,56,3,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,187,0.0,0.056,,
386,FC,2024-04-28,84.1,-1.92,6.36,"Walker, Taijuan",701538,592836,,swinging_strike,,,,,1,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,S,,,1,0,2024,0.63,0.62,-0.46,3.06,,,,0,7,Bot,,,,,592663,,,2.1145007765288333,-122.50600252454228,-2.5296221859615944,5.99374935429415,22.316280656711143,-25.618959690492257,3.61,1.66,,,,83.1,2512,5.4,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.09,,,,,,,,56,2,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,163,0.0,-0.05,74.67975064556971,6.83066
417,FC,2024-04-28,87.6,-2.02,6.41,"Walker, Taijuan",701538,592836,,ball,,,,,13,Jackson Merrill flies out to center fielder Johan Rojas.,R,L,R,SD,PHI,B,,,0,0,2024,-0.23,1.39,-1.16,2.38,,,,0,7,Bot,,,,,592663,,,2.5009622433405023,-127.47072272140711,-6.33400172314569,-2.9881142111182246,26.518388465040537,-15.970948289229842,3.81,1.83,,,,86.1,2240,5.3,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,55.17,,,,,,,,56,1,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,197,0.0,0.037,,
437,FC,2024-04-28,85.6,-1.66,6.4,"Walker, Taijuan",593428,592836,strikeout,foul_tip,,,,,14,Xander Bogaerts strikes out on a foul tip.,R,R,R,SD,PHI,S,2,,1,2,2024,0.39,0.75,1.1,2.13,,,592518,2,6,Bot,,,,,592663,,,5.650297253425369,-124.56883609249894,-5.340130409285789,3.028612376779876,23.14340957998635,-23.45695997570478,3.53,1.57,,,,85.0,2441,5.7,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.79,,0.0,0.0,1,0,0,,50,4,Cutter,3,6,3,6,6,3,3,6,Standard,Standard,170,-0.024,-0.148,64.6842257286621,7.98025
455,FF,2024-04-28,92.1,-1.44,6.47,"Walker, Taijuan",593428,592836,,swinging_strike,,,,,6,Xander Bogaerts strikes out on a foul tip.,R,R,R,SD,PHI,S,,,1,1,2024,-0.91,1.47,0.56,2.68,,,592518,2,6,Bot,,,,,592663,,,6.988219065774572,-133.8645483199855,-6.9164226814383785,-12.46537704022525,28.81932687284213,-13.116486430370356,3.53,1.57,,,,91.3,1992,5.8,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.66,,,,,,,,50,3,4-Seam Fastball,3,6,3,6,6,3,3,6,Standard,Standard,216,0.0,-0.052,69.47543105528311,7.42847
468,SI,2024-04-28,91.3,-1.63,6.49,"Walker, Taijuan",593428,592836,,called_strike,,,,,5,Xander Bogaerts strikes out on a foul tip.,R,R,R,SD,PHI,S,,,1,0,2024,-1.46,1.11,0.1,2.42,,,592518,2,6,Bot,,,,,592663,,,7.404467922979068,-132.62724913684497,-6.656535919115988,-18.82939085768957,28.416387508807382,-17.821397104052068,3.7,1.75,,,,90.1,1928,5.7,745428,592836,592663,547180,681082,664761,607208,669016,679032,592206,54.83,,,,,,,,50,2,Sinker,3,6,3,6,6,3,3,6,Standard,Standard,223,0.0,-0.041,,
