,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
394,FF,2024-05-11,92.3,-1.68,6.33,"Walker, Taijuan",660821,592836,strikeout,called_strike,,,,,14,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,S,2,,3,2,2024,-0.95,1.31,0.67,1.42,,,,1,6,Bot,,,,,592663,,,7.991035163987082,-133.85841654523523,-9.414062277429087,-13.188185483761789,29.32539382621048,-14.492057330367537,3.6,1.71,,,,91.6,2052,6.1,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.41,,0.0,0.0,1,0,0,,49,6,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,219,-0.017,-0.204,,
431,SI,2024-05-11,90.6,-1.68,6.28,"Walker, Taijuan",660821,592836,,ball,,,,,14,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,B,,,2,2,2024,-1.17,0.96,0.34,1.07,,,,1,6,Bot,,,,,592663,,,7.496901410221872,-131.44675755115497,-9.052819183061208,-15.134752980175964,28.29315869412836,-19.287046295616616,3.55,1.74,,,,90.1,1773,6.2,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.3,,,,,,,,49,5,Sinker,1,4,1,4,4,1,1,4,Standard,Standard,217,0.0,0.065,,
448,FC,2024-05-11,84.7,-1.93,6.27,"Walker, Taijuan",660821,592836,,ball,,,,,14,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,B,,,1,2,2024,0.32,0.75,1.37,0.68,,,,1,6,Bot,,,,,592663,,,6.9962766034417,-123.04676565078223,-8.153165952303876,1.961328598457872,23.47166869349653,-23.142327450131308,3.55,1.82,,,,84.1,2362,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.6,,,,,,,,49,4,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,187,0.0,0.021,,
485,FS,2024-05-11,85.3,-2.07,6.15,"Walker, Taijuan",660821,592836,,foul,,,,,1,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,S,,,1,1,2024,-0.86,0.61,-0.6,3.36,,,,1,6,Bot,,,,,592663,,,5.137912891026459,-124.23073532037358,-1.5245912211143522,-9.885073606577448,22.978799565998035,-25.729487322054197,3.55,1.72,98,74.3,7,85.0,1264,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.6,,,,,,,,49,3,Split-Finger,1,4,1,4,4,1,1,4,Standard,Standard,236,0.0,-0.04,70.56334161552854,5.88181
507,FF,2024-05-11,91.7,-1.8,6.32,"Walker, Taijuan",660821,592836,,ball,,,,,11,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,B,,,0,1,2024,-0.79,1.53,-0.14,4.23,,,,1,6,Bot,,,,,592663,,,5.867089376986767,-133.39775054822587,-2.73436391041531,-10.748324645106395,28.653602899620918,-13.495488023856186,3.65,1.78,,,,91.2,2075,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.52,,,,,,,,49,2,4-Seam Fastball,1,4,1,4,4,1,1,4,Standard,Standard,218,0.0,0.023,,
545,FC,2024-05-11,85.3,-1.93,6.25,"Walker, Taijuan",660821,592836,,called_strike,,,,,3,Jesús Sánchez called out on strikes.,R,L,R,MIA,PHI,S,,,0,0,2024,0.33,0.9,0.52,3.01,,,,1,6,Bot,,,,,592663,,,5.068519883947839,-124.29111185542358,-3.219888821890499,2.5721506050616973,21.342215341209844,-22.35654394254111,3.55,1.65,,,,85.2,2205,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.65,,,,,,,,49,1,Cutter,1,4,1,4,4,1,1,4,Standard,Standard,193,0.0,-0.023,,
581,SI,2024-05-11,90.0,-1.8,6.31,"Walker, Taijuan",605137,592836,field_out,hit_into_play,,,,,5,Josh Bell pops out to third baseman Whit Merrifield in foul territory.,R,L,R,MIA,PHI,X,5,popup,3,1,2024,-1.3,0.91,-0.12,2.95,,,,0,6,Bot,94.89,174.77,,,592663,,,6.84878453443732,-130.88818167837988,-4.284970088793874,-16.373893274504816,27.94158572276545,-20.940369874283014,3.84,1.82,102,81.6,72,89.3,1892,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.56,0.003,0.004,0.0,1,0,0,3,48,5,Sinker,1,4,1,4,4,1,1,4,Strategic,Standard,221,-0.026,-0.394,73.75957028922573,8.00445
601,FS,2024-05-11,84.6,-2.01,6.25,"Walker, Taijuan",605137,592836,,ball,,,,,11,Josh Bell pops out to third baseman Whit Merrifield in foul territory.,R,L,R,MIA,PHI,B,,,2,1,2024,-0.69,0.23,-0.87,4.05,,,,0,6,Bot,,,,,592663,,,3.985593779673849,-123.20256451477503,0.7126443638750786,-7.757827645283966,23.039609894287885,-30.12525542186088,3.71,1.8,,,,84.3,1214,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.56,,,,,,,,48,4,Split-Finger,1,4,1,4,4,1,1,4,Strategic,Standard,226,0.0,0.12,,
643,FC,2024-05-11,85.3,-2.0,6.37,"Walker, Taijuan",605137,592836,,ball,,,,,14,Josh Bell pops out to third baseman Whit Merrifield in foul territory.,R,L,R,MIA,PHI,B,,,1,1,2024,0.47,0.83,1.03,2.25,,,,0,6,Bot,,,,,592663,,,6.134289348577749,-124.06142842391078,-5.04335036392664,3.735562946085032,23.599150713281468,-22.840128094283877,3.74,1.8,,,,84.9,2401,5.9,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.57,,,,,,,,48,3,Cutter,1,4,1,4,4,1,1,4,Strategic,Standard,185,0.0,0.056,,
666,SI,2024-05-11,90.8,-1.8,6.3,"Walker, Taijuan",605137,592836,,called_strike,,,,,8,Josh Bell pops out to third baseman Whit Merrifield in foul territory.,R,L,R,MIA,PHI,S,,,1,0,2024,-1.24,0.98,-0.01,2.13,,,,0,6,Bot,,,,,592663,,,7.0700813273631615,-131.8689731715494,-6.536113734406442,-16.004163366322686,28.312157269271577,-19.5285536574694,3.81,1.86,,,,90.1,1970,6.0,746069,592836,592663,547180,681082,593160,624641,665506,679032,592206,54.49,,,,,,,,48,2,Sinker,1,4,1,4,4,1,1,4,Strategic,Standard,219,0.0,-0.05,,
