Tm,ws_winner,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
2010 San Francisco Giants,1,42,29.5,4.3,162,6143,5488,697,1411,284,30,162,660,55,32,487,1099,0.257,0.321,0.408,0.729,98,2241,158,50,76,41,53,1092,19,27.9,3.6,92,70,0.568,3.36,162,162,156,6,17,3,57,1461,1279,583,546,134,578,58,1331,51,4,74,6159,117,3.74,1.271,7.9,0.8,3.6,8.2,2.3,1193,42,3.6,0.707,162,1458,997,13149,5941,4383,1485,73,110,0.988,25,2,,0,3
2009 New York Yankees,1,45,30.6,5.65,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,114,2703,144,54,31,39,35,1238,24,29.3,4.65,103,59,0.636,4.26,162,162,159,3,8,1,51,1450,1386,753,687,181,574,28,1260,71,5,66,6247,108,4.32,1.352,8.6,1.1,3.6,7.8,2.2,1144,44,4.65,0.698,162,1458,1024,13050,5929,4350,1493,86,131,0.985,6,1,,0,-9
2024 Philadelphia Phillies,0,47,29.1,4.84,162,6166,5534,784,1423,285,24,198,750,148,30,515,1370,0.257,0.325,0.425,0.75,109,2350,107,62,13,40,21,1115,29,29.5,4.14,95,67,0.586,3.85,162,162,157,5,14,4,37,1442.2,1339,671,617,181,444,9,1433,60,4,48,6050,106,3.86,1.236,8.4,1.1,2.8,8.9,3.23,1073,47,4.14,0.692,162,1458,1116,12984,5880,4328,1467,85,121,0.986,-16,-1,9,0,-3
2024 Los Angeles Dodgers,0,60,30.3,5.2,162,6255,5522,842,1423,291,26,233,815,136,23,602,1336,0.258,0.335,0.446,0.781,121,2465,99,64,10,51,33,1143,40,29.7,4.23,98,64,0.605,3.9,162,162,161,1,13,1,50,1445.2,1273,686,626,198,501,19,1390,55,7,64,6047,99,4.18,1.227,7.9,1.2,3.1,8.7,2.77,1045,59,4.23,0.71,162,1458,1026,13011,5791,4337,1366,88,119,0.985,10,1,63,1,0
2024 Milwaukee Brewers,0,56,26.4,4.8,162,6170,5472,777,1359,249,33,177,742,217,42,597,1459,0.248,0.326,0.403,0.729,101,2205,97,46,15,34,19,1113,36,29,3.96,93,69,0.574,3.65,162,162,162,0,14,0,53,1446,1289,641,586,196,494,25,1373,64,10,40,6076,116,4.19,1.233,8,1.2,3.1,8.5,2.78,1118,56,3.96,0.709,162,1458,1103,13014,5775,4338,1348,89,113,0.985,48,4,66,1,-2
2024 San Diego Padres,0,49,29,4.69,162,6103,5526,760,1456,259,18,190,726,120,28,458,1077,0.263,0.324,0.42,0.745,107,2321,133,56,28,31,18,1068,26,28.8,4.13,93,69,0.574,3.86,162,162,161,1,16,1,44,1439.1,1296,669,617,169,462,17,1453,67,5,63,6029,107,3.77,1.221,8.1,1.1,2.9,9.1,3.15,1055,49,4.13,0.697,162,1458,1091,12954,5690,4318,1297,75,117,0.987,-37,-3,-2,0,-8
2024 Detroit Tigers,0,48,26.7,4.21,162,6021,5442,682,1273,244,47,162,656,76,24,476,1461,0.234,0.3,0.385,0.685,94,2097,90,52,4,41,12,1045,26,27.9,3.96,86,76,0.531,3.61,162,162,161,1,10,1,45,1447,1265,642,581,159,416,11,1354,57,5,40,5969,113,3.7,1.162,7.9,1,2.6,8.4,3.25,1012,48,3.96,0.709,162,1458,1045,13023,5830,4341,1409,80,129,0.986,36,3,52,1,5
2024 Houston Astros,0,55,28.8,4.6,161,6107,5530,740,1448,264,16,190,701,93,24,448,1176,0.262,0.322,0.418,0.741,111,2314,132,67,12,46,28,1113,32,29.6,4.03,88,73,0.547,3.74,161,161,159,2,11,1,43,1432,1238,649,595,183,544,2,1479,61,10,49,6018,106,4.03,1.244,7.8,1.2,3.4,9.3,2.72,1092,55,4.03,0.704,161,1449,1091,12888,5692,4296,1312,84,130,0.985,40,4,2,-1,3
2024 Cleveland Guardians,0,50,26.1,4.4,161,5927,5310,708,1263,245,18,185,670,148,46,466,1196,0.238,0.307,0.395,0.703,99,2099,111,87,17,43,30,978,30,27.7,3.86,92,69,0.571,3.61,161,161,161,0,12,0,53,1428,1224,621,572,179,492,11,1410,60,5,45,5923,114,3.98,1.202,7.7,1.1,3.1,8.9,2.87,1035,50,3.86,0.709,161,1449,1047,12852,5748,4284,1377,87,130,0.985,36,3,84,1,0
2024 Baltimore Orioles,0,60,26.9,4.85,162,6176,5567,786,1391,262,33,235,759,98,25,489,1359,0.25,0.315,0.435,0.751,118,2424,71,64,6,45,14,1108,34,29.6,4.31,91,71,0.562,3.94,162,162,162,0,9,0,46,1442,1303,699,632,175,481,9,1380,53,8,46,6071,96,3.93,1.237,8.1,1.1,3,8.6,2.87,1062,58,4.31,0.704,162,1458,1084,12978,5743,4326,1336,81,100,0.986,-21,-2,1,0,-2
2024 Kansas City Royals,0,50,28,4.54,162,5982,5421,735,1343,264,35,170,711,134,31,429,1161,0.248,0.306,0.403,0.71,98,2187,95,52,23,54,22,990,31,29.1,3.98,86,76,0.531,3.76,162,162,160,2,11,0,41,1428,1303,644,596,146,472,18,1339,70,3,40,6007,113,3.76,1.243,8.2,0.9,3,8.4,2.84,1090,50,3.98,0.696,162,1458,1052,12852,5792,4284,1423,85,125,0.985,12,1,47,4,5
2024 New York Yankees,0,54,28,5.03,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,0.248,0.333,0.429,0.761,115,2336,138,49,14,57,26,1141,33,30.1,4.12,94,68,0.58,3.74,162,162,162,0,14,0,45,1452.2,1272,668,604,181,533,8,1457,88,11,39,6131,110,4.06,1.243,7.9,1.1,3.3,9,2.73,1129,52,4.12,0.703,162,1458,1153,13074,5771,4358,1320,93,112,0.984,7,1,33,0,1
