Player,Team,Plays,EPA+CPOE composite,Adj. EPA/play,EPA/play,Success rate,Cmp%,Expected cmp%,CPOE,Air yards,Year,HC,OC,QBC
P.Mahomes,KC,786,0.146,0.232,0.221,53.40%,70.3,67.6,2.7,7.3,2021,A. Reid,E. Bienemy,M. Kafka
J.Herbert,LAC,558,0.073,0.084,0.081,46.80%,67,67.4,-0.3,7.6,2023,B. Staley,K. Moore,D. Nussmeier
J.Herbert,LAC,798,0.082,0.083,0.063,47.10%,70.7,69.3,1.4,6.4,2022,B. Staley,J. Lombardi,S. Day
J.Herbert,LAC,798,0.123,0.218,0.197,51.10%,67.4,68,-0.6,7.6,2021,B. Staley,J. Lombardi,S. Day
M.Stafford,LAR,596,0.081,0.137,0.123,46.80%,65.9,68.4,-2.6,7.9,2023,S. McVay,Mi. LaFleur,Z. Robinson
M.Stafford,LAR,348,0.041,-0.011,-0.061,47.40%,69.6,69.7,-0.1,6.8,2022,S. McVay,L. Coen,Z. Robinson
B.Mayfield,LAR,416,-0.014,-0.106,-0.123,36.80%,62.4,69.5,-7,6.8,2022,S. McVay,L. Coen,Z. Robinson
M.Stafford,LAR,674,0.129,0.227,0.201,50.90%,67.8,67.9,-0.1,8.5,2021,S. McVay,K. O'Connell,N/A
A.O'Connell,LV,386,0.015,-0.027,-0.038,42.20%,66.1,70.1,-3.9,7.8,2023,J. McDaniels,M. Lombardi,B. Hardegree
D.Carr,LV,575,0.068,0.109,0.092,43.10%,63.8,66.8,-3,9.3,2022,J. McDaniels,M. Lombardi,B. Hardegree
D.Carr,LV,731,0.105,0.132,0.107,48.30%,71.2,69,2.2,8.2,2021,J. Gruden,M. Lombardi,N/A
T.Tagovailoa,MIA,638,0.139,0.187,0.16,50.00%,71.5,67,4.5,7.8,2023,M. McDaniel,F. Smith,D. Bevell
T.Tagovailoa,MIA,457,0.148,0.256,0.242,49.90%,66.9,65.5,1.4,9.7,2022,M. McDaniel,F. Smith,D. Bevell
T.Tagovailoa,MIA,466,0.085,0.081,0.062,48.50%,69.2,67.2,2,7.2,2021,B. Flores,E. Studesville,C. Frye
K.Cousins,MIN,359,0.134,0.177,0.145,48.20%,71.5,67.2,4.3,7.2,2023,K. O'Connell,W. Phillips,C. O'Hara
J.Dobbs,MIN,555,0.02,-0.06,-0.085,42.30%,65.8,67.6,-1.8,7.8,2023,K. O'Connell,W. Phillips,C. O'Hara
K.Cousins,MIN,747,0.081,0.08,0.058,49.40%,69.2,68,1.3,7.6,2022,K. O'Connell,W. Phillips,C. O'Hara
K.Cousins,MIN,637,0.108,0.151,0.137,46.00%,69.3,67.9,1.4,8,2021,M. Zimmer,K. Kubiak,A. Janocko
M.Jones,NE,402,0.011,-0.082,-0.133,44.50%,66.1,69,-2.9,7,2023,B. Belichick,B. O'Brien,N/A
M.Jones,NE,528,0.036,-0.023,-0.031,41.30%,67.9,68.4,-0.4,8.1,2022,B. Belichick,M. Patricia,J. Judge
M.Jones,NE,616,0.114,0.154,0.123,50.50%,68.9,66.5,2.4,8.1,2021,B. Belichick,J. McDaniels,N/A
D.Carr,NO,612,0.087,0.071,0.05,46.70%,71.7,68.7,3,8,2023,D. Allen,P. Carmichael,R. Curry
A.Dalton,NO,436,0.072,0.066,0.042,50.00%,69.2,68.5,0.7,7.9,2022,D. Allen,P. Carmichael,R. Curry
