year,team,off_epa_per_play,off_sr,off_dropback_epa_per_play,dropback_sr,off_rush_epa_per_play,off_rush_st,def_epa_per_play,def_sr,def_dropback_epa_per_play,def_dropback_sr,def_rush_epa_per_play,def_rush_sr,hex,made_playoffs,made_cg,made_sb,won_sb,pd
2023,BAL,0.059,47.40%,0.067,48.00%,0.049,46.70%,-0.133,40.20%,-0.136,41.00%,-0.126,38.60%,#241773,1,1,0,0
2023,BUF,0.114,50.10%,0.171,52.10%,0.015,46.50%,-0.034,43.30%,-0.005,46.50%,-0.09,36.90%,#00338D,1,0,0,0
2023,CAR,-0.151,38.50%,-0.146,39.20%,-0.163,37.00%,0.054,46.00%,0.037,46.60%,0.073,45.20%,#0085CA,0,0,0,0
2023,CHI,-0.059,44.50%,-0.078,45.80%,-0.034,42.80%,0.039,43.50%,0.148,48.70%,-0.175,33.30%,#0B162A,0,0,0,0
2023,CIN,-0.007,45.00%,0.029,47.60%,-0.097,38.70%,0.016,46.70%,0.039,48.80%,-0.021,43.30%,#fb4f14,0,0,0,0
2023,CLE,-0.118,38.90%,-0.146,39.40%,-0.081,38.40%,-0.206,34.50%,-0.261,34.00%,-0.121,35.20%,#311D00,1,0,0,0
2023,DAL,0.102,46.30%,0.2,50.10%,-0.059,40.10%,-0.132,42.20%,-0.145,40.60%,-0.112,44.80%,#041E42,1,0,0,0
2023,DEN,-0.025,42.40%,0.017,44.80%,-0.096,38.20%,0.09,47.80%,0.164,50.90%,-0.017,43.30%,#FB4F14,0,0,0,0
2023,DET,0.054,46.80%,0.087,50.40%,0.008,42.00%,-0.023,44.70%,0.025,48.00%,-0.118,38.30%,#0076b6,1,1,1,0
2023,GB,-0.001,42.40%,0.071,44.50%,-0.123,38.70%,-0.003,44.10%,0.048,47.10%,-0.074,40.00%,#203731,1,0,0,0
2023,HOU,0.031,42.20%,0.148,47.40%,-0.151,34.20%,-0.007,43.00%,0.065,46.80%,-0.133,36.40%,#03202f,1,0,0,0
2023,IND,-0.047,40.30%,0.02,43.50%,-0.149,35.60%,-0.028,44.70%,-0.007,45.30%,-0.058,43.90%,#002C5F,0,0,0,0
2023,JAX,-0.041,43.20%,0.042,48.70%,-0.177,34.10%,-0.062,41.10%,-0.045,44.80%,-0.101,32.70%,#006778,0,0,0,0
2023,KC,0.045,44.40%,0.124,49.80%,-0.123,32.90%,-0.091,40.10%,-0.156,38.50%,0.021,42.90%,#E31837,1,1,1,1,61
2023,LA,-0.025,42.80%,-0.003,42.10%,-0.063,44.00%,0.002,43.20%,0.065,47.10%,-0.093,37.50%,#003594,1,0,0,0
