PLAYER,POS,Year,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)","OFF DRIBBLE
COLLEGE
BREAK LEFT","OFF DRIBBLE
COLLEGE
BREAK RIGHT","OFF DRIBBLE
COLLEGE
TOP KEY","OFF DRIBBLE
FIFTEEN
BREAK LEFT","OFF DRIBBLE
FIFTEEN
BREAK RIGHT","OFF DRIBBLE
FIFTEEN
TOP KEY","ON THE
MOVE
COLLEGE","ON THE
MOVE
FIFTEEN"
AJ Lawson,SG-SF,2021,4.40%,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75'',11,3.01,2.98,33,41,-,,,,,,,,
Scottie Lewis,SF,2021,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',10.45,3.03,2.98,34,42,-,,,,,,,,
Isaiah Livers,SF,2021,9.40%,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',-,-,-,-,-,-,,,,,,,,
Makur Maker,C,2021,14.50%,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',11.87,3.28,3.34,25.5,31,-,,,,,,,,
Sandro Mamukelashvili,C,2021,7.80%,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',11.63,3.3,3.21,30.5,36.5,-,,,,,,,,
Tre Mann,PG,2021,4.10%,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',-,-,-,-,-,-,,,,,,,,
Matthew Mayer,PF,2021,-%,-,-,,,,-,,-,-,-,-,-,-,,,,,,,,
Miles McBride,PG,2021,6.00%,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',11.08,3.13,3.1,31,38.5,-,,,,,,,,
Davion Mitchell,PG,2021,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',-,-,-,-,-,-,,,,,,,,
Evan Mobley,PF,2021,-%,-,-,,,,-,,-,-,-,-,-,-,,,,,,,,
Isaiah Mobley,PF,2021,12.90%,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0'',12.7,3.5,3.3,26.5,32,-,,,,,,,,
Moses Moody,SG,2021,6.80%,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',-,-,-,-,-,-,,,,,,,,
Trey Murphy III,SF,2021,8.10%,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',11.65,3.32,3.14,34,38,-,,,,,,,,
Daishen Nix,PG,2021,11.80%,8.5,9,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75'',11.72,3.18,3,29.5,36.5,-,,,,,,,,
John Petty Jr.,SG,2021,5.60%,8.5,9,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5'',11.51,3.17,3.35,27.5,34,-,,,,,,,,
Yves Pons,PF,2021,4.00%,9,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75'',10.89,3.05,3.1,36,42.5,-,,,,,,,,
Jason Preston,PG,2021,5.45%,8.5,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5'',10.82,3.08,3.13,30.5,38.5,-,,,,,,,,
Joshua Primo,SG,2021,6.30%,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25'',10.97,3.36,3.22,30.5,37.5,-,,,,,,,,
Roko Prkacin,PF,2021,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0'',-,-,-,-,-,-,,,,,,,,
Neemias Queta,C,2021,7.60%,9.25,10.5,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0'',11.85,3.5,3.29,27,33,-,,,,,,,,
Austin Reaves,SG,2021,11.00%,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',10.94,3.19,3.07,25,35,-,,,,,,,,
Jeremiah Robinson-Earl,PF,2021,8.90%,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',11.64,3.15,3.29,27,32,-,,,,,,,,
Terrence Shannon Jr.,SF,2021,6.70%,8,8,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25'',11.51,3.12,3.21,32.5,39.5,-,,,,,,,,
Day'Ron Sharpe,C,2021,-%,-,-,,,,-,,-,-,-,-,-,-,,,,,,,,
Jericho Sims,C,2021,5.50%,9,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25'',11.59,3.38,3.05,37,44.5,-,,,,,,,,
Jaden Springer,SG,2021,6.30%,8.5,9.75,6'3.0'',6'4.25'',8'3.0'',202,6'7.75'',11.46,3.1,3.13,34.5,41.5,-,,,,,,,,
DJ Steward,PG,2021,5.00%,8.5,9,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0'',11.14,3.1,3.08,34.5,38.5,-,,,,,,,,
Cam Thomas,SG,2021,-%,-,-,,,,-,,-,-,-,-,-,-,,,,,,,,
JT Thor,PF,2021,6.10%,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25'',12.19,3.08,3.06,31.5,35,-,,,,,,,,
Isaiah Todd,PF,2021,6.20%,9,9.75,6'8.75'',6'10.0'',8'11.5'',219,7'1.25'',11.38,3.25,3.31,28.5,35.5,-,,,,,,,,
Duane Washington Jr.,SG,2021,5.10%,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',11.5,3.06,3.17,29.5,35.5,-,,,,,,,,
Trendon Watford,PF,2021,10.10%,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',11.69,3.23,3.27,28,35,-,,,,,,,,
Joe Wieskamp,SF,2021,4.10%,8.5,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0'',10.7,3.18,3.04,30,42,-,,,,,,,,
Aaron Wiggins,SG-SF,2021,5.00%,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75'',11.2,3,3.04,29.5,36,-,,,,,,,,
Ziaire Williams,SF,2021,4.40%,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',10.69,3.04,3.12,34,39.5,-,,,,,,,,
Moses Wright,PF,2021,5.60%,9,9.5,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75'',11.2,3.42,3.15,31.5,38,-,,,,,,,,
McKinley Wright IV,PG,2021,6.70%,8.5,9,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25'',10.76,3.12,3.08,31.5,38,-,,,,,,,,
Marcus Zegarowski,PG,2021,7.20%,8,9.5,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75'',11.47,3.26,3.11,30,35.5,-,,,,,,,,
